"seqnames","start","end","width","strand"
"chr1","66994825","67004825","10001","+"
"chr1","8373145","8383145","10001","+"
"chr1","50484626","50494626","10001","-"
"chr1","16762167","16772167","10001","+"
"chr1","16762167","16772167","10001","+"
"chr1","25066760","25076760","10001","+"
"chr1","16762167","16772167","10001","+"
"chr1","33541714","33551714","10001","+"
"chr1","92346836","92356836","10001","-"
"chr1","92346836","92356836","10001","-"
"chr1","100710409","100720409","10001","-"
"chr1","92366559","92376559","10001","-"
"chr1","92346836","92356836","10001","-"
"chr1","176171380","176181380","10001","-"
"chr1","184351150","184361150","10001","+"
"chr1","150975973","150985973","10001","+"
"chr1","176171380","176181380","10001","-"
"chr1","176171380","176181380","10001","-"
"chr1","226492449","226502449","10001","-"
"chr1","226492204","226502204","10001","-"
"chr1","226492204","226502204","10001","-"
"chr1","1976909","1986909","10001","+"
"chr1","1046736","1056736","10001","-"
"chr1","2980742","2990742","10001","+"
"chr1","6840384","6850384","10001","+"
"chr1","2980742","2990742","10001","+"
"chr1","2000425","2010425","10001","+"
"chr1","6291044","6301044","10001","-"
"chr1","2031155","2041155","10001","+"
"chr1","2000086","2010086","10001","+"
"chr1","13693405","13703405","10001","-"
"chr1","13693405","13703405","10001","-"
"chr1","13624925","13634925","10001","+"
"chr1","13624932","13634932","10001","+"
"chr1","23032331","23042331","10001","+"
"chr1","20954948","20964948","10001","+"
"chr1","23032331","23042331","10001","+"
"chr1","22104688","22114688","10001","-"
"chr1","20973686","20983686","10001","-"
"chr1","28410148","28420148","10001","-"
"chr1","29236088","29246088","10001","+"
"chr1","29208603","29218603","10001","+"
"chr1","29208603","29218603","10001","+"
"chr1","27243213","27253213","10001","+"
"chr1","29208603","29218603","10001","+"
"chr1","28410148","28420148","10001","-"
"chr1","32474295","32484295","10001","+"
"chr1","29208603","29218603","10001","+"
"chr1","28410148","28420148","10001","-"
"chr1","28410148","28420148","10001","-"
"chr1","26227993","26237993","10001","-"
"chr1","29208603","29218603","10001","+"
"chr1","31533564","31543564","10001","-"
"chr1","32474295","32484295","10001","+"
"chr1","31533564","31543564","10001","-"
"chr1","32474295","32484295","10001","+"
"chr1","32474295","32484295","10001","+"
"chr1","34626443","34636443","10001","-"
"chr1","34625875","34635875","10001","-"
"chr1","39544839","39554839","10001","+"
"chr1","36685017","36695017","10001","+"
"chr1","35653743","35663743","10001","-"
"chr1","48457562","48467562","10001","-"
"chr1","43991547","44001547","10001","+"
"chr1","44865960","44875960","10001","+"
"chr1","43991547","44001547","10001","+"
"chr1","46147302","46157302","10001","-"
"chr1","58711211","58721211","10001","-"
"chr1","53387901","53397901","10001","+"
"chr1","55676039","55686039","10001","-"
"chr1","53387901","53397901","10001","+"
"chr1","51420936","51430936","10001","-"
"chr1","52451436","52461436","10001","-"
"chr1","53387901","53397901","10001","+"
"chr1","53387901","53397901","10001","+"
"chr1","54514274","54524274","10001","+"
"chr1","61542980","61552980","10001","+"
"chr1","65881335","65891335","10001","+"
"chr1","62896975","62906975","10001","+"
"chr1","59757684","59767684","10001","+"
"chr1","59757625","59767625","10001","+"
"chr1","61542980","61552980","10001","+"
"chr1","63983944","63993944","10001","-"
"chr1","62897383","62907383","10001","+"
"chr1","65986372","65996372","10001","+"
"chr1","64931476","64941476","10001","+"
"chr1","65986372","65996372","10001","+"
"chr1","61542534","61552534","10001","+"
"chr1","61537946","61547946","10001","+"
"chr1","65986372","65996372","10001","+"
"chr1","63983944","63993944","10001","-"
"chr1","59757625","59767625","10001","+"
"chr1","63983944","63993944","10001","-"
"chr1","62896975","62906975","10001","+"
"chr1","65881335","65891335","10001","+"
"chr1","65881335","65891335","10001","+"
"chr1","72743277","72753277","10001","-"
"chr1","70220858","70230858","10001","+"
"chr1","76535389","76545389","10001","+"
"chr1","76535389","76545389","10001","+"
"chr1","77680132","77690132","10001","-"
"chr1","87007759","87017759","10001","+"
"chr1","90093644","90103644","10001","+"
"chr1","87007759","87017759","10001","+"
"chr1","86039046","86049046","10001","-"
"chr1","89145887","89155887","10001","-"
"chr1","94370012","94380012","10001","-"
"chr1","93337707","93347707","10001","-"
"chr1","93422079","93432079","10001","-"
"chr1","93422079","93432079","10001","-"
"chr1","93422079","93432079","10001","-"
"chr1","93422079","93432079","10001","-"
"chr1","95388584","95398584","10001","+"
"chr1","107677629","107687629","10001","+"
"chr1","107677629","107687629","10001","+"
"chr1","107677745","107687745","10001","+"
"chr1","114296777","114306777","10001","-"
"chr1","111169096","111179096","10001","-"
"chr1","112157405","112167405","10001","+"
"chr1","110086186","110096186","10001","+"
"chr1","113244678","113254678","10001","-"
"chr1","113245025","113255025","10001","-"
"chr1","113245025","113255025","10001","-"
"chr1","112157405","112167405","10001","+"
"chr1","120607317","120617317","10001","-"
"chr1","118467372","118477372","10001","+"
"chr1","120607317","120617317","10001","-"
"chr1","145722666","145732666","10001","+"
"chr1","145288371","145298371","10001","+"
"chr1","144609959","144619959","10001","+"
"chr1","145722666","145732666","10001","+"
"chr1","148341929","148351929","10001","-"
"chr1","149977686","149987686","10001","-"
"chr1","144609959","144619959","10001","+"
"chr1","145722666","145732666","10001","+"
"chr1","144609959","144619959","10001","+"
"chr1","148341929","148351929","10001","-"
"chr1","144609959","144619959","10001","+"
"chr1","148341929","148351929","10001","-"
"chr1","144609959","144619959","10001","+"
"chr1","149104725","149114725","10001","-"
"chr1","144141811","144151811","10001","+"
"chr1","154145697","154155697","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","155192325","155202325","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154150725","154160725","10001","-"
"chr1","154159611","154169611","10001","-"
"chr1","156247620","156257620","10001","-"
"chr1","161470205","161480205","10001","+"
"chr1","161470205","161480205","10001","+"
"chr1","164523597","164533597","10001","+"
"chr1","164523597","164533597","10001","+"
"chr1","164523597","164533597","10001","+"
"chr1","165662987","165672987","10001","+"
"chr1","171805618","171815618","10001","+"
"chr1","170899636","170909636","10001","+"
"chr1","171805618","171815618","10001","+"
"chr1","170899612","170909612","10001","+"
"chr1","171805618","171815618","10001","+"
"chr1","173015103","173025103","10001","-"
"chr1","175031994","175041994","10001","+"
"chr1","179257849","179267849","10001","+"
"chr1","183436506","183446506","10001","+"
"chr1","180467022","180477022","10001","-"
"chr1","183436506","183446506","10001","+"
"chr1","178057864","178067864","10001","+"
"chr1","182414256","182424256","10001","+"
"chr1","177135633","177145633","10001","+"
"chr1","183436506","183446506","10001","+"
"chr1","183436506","183446506","10001","+"
"chr1","179257849","179267849","10001","+"
"chr1","179257849","179267849","10001","+"
"chr1","179257849","179267849","10001","+"
"chr1","186644559","186654559","10001","-"
"chr1","197164672","197174672","10001","-"
"chr1","198121108","198131108","10001","+"
"chr1","206511200","206521200","10001","+"
"chr1","206511200","206521200","10001","+"
"chr1","206552367","206562367","10001","+"
"chr1","206511200","206521200","10001","+"
"chr1","202312830","202322830","10001","+"
"chr1","202312830","202322830","10001","+"
"chr1","202312830","202322830","10001","+"
"chr1","206511200","206521200","10001","+"
"chr1","210496596","210506596","10001","+"
"chr1","210497250","210507250","10001","+"
"chr1","210497250","210507250","10001","+"
"chr1","210497640","210507640","10001","+"
"chr1","210496596","210506596","10001","+"
"chr1","216591738","216601738","10001","-"
"chr1","217108015","217118015","10001","-"
"chr1","217108017","217118017","10001","-"
"chr1","212868327","212878327","10001","-"
"chr1","217245312","217255312","10001","-"
"chr1","217108015","217118015","10001","-"
"chr1","217108017","217118017","10001","-"
"chr1","217306097","217316097","10001","-"
"chr1","210497250","210507250","10001","+"
"chr1","217257987","217267987","10001","-"
"chr1","217257987","217267987","10001","-"
"chr1","217245312","217255312","10001","-"
"chr1","217257987","217267987","10001","-"
"chr1","217258196","217268196","10001","-"
"chr1","220215000","220225000","10001","-"
"chr1","225112356","225122356","10001","+"
"chr1","220041619","220051619","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231742836","231752836","10001","-"
"chr1","228589517","228599517","10001","-"
"chr1","229639088","229649088","10001","-"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","231659399","231669399","10001","+"
"chr1","241515530","241525530","10001","-"
"chr1","236025227","236035227","10001","-"
"chr1","241515530","241525530","10001","-"
"chr1","241515530","241525530","10001","-"
"chr1","241515530","241525530","10001","-"
"chr1","236953581","236963581","10001","+"
"chr1","238020475","238030475","10001","+"
"chr1","247490045","247500045","10001","-"
"chr1","246575714","246585714","10001","-"
"chr1","246665644","246675644","10001","-"
"chr1","245313287","245323287","10001","+"
"chr1","248507077","248517077","10001","+"
"chr1","757971","767971","10001","+"
"chr1","758178","768178","10001","+"
"chr1","757971","767971","10001","+"
"chr1","757971","767971","10001","+"
"chr1","757971","767971","10001","+"
"chr1","757971","767971","10001","+"
"chr1","757971","767971","10001","+"
"chr1","757971","767971","10001","+"
"chr1","1704909","1714909","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","1650775","1660775","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","1705297","1715297","10001","-"
"chr1","1650775","1660775","10001","-"
"chr1","1706508","1716508","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","1650775","1660775","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","1305818","1315818","10001","-"
"chr1","1177102","1187102","10001","-"
"chr1","1650859","1660859","10001","-"
"chr1","2482805","2492805","10001","+"
"chr1","2155134","2165134","10001","+"
"chr1","2701230","2711230","10001","-"
"chr1","3768831","3778831","10001","+"
"chr1","3768831","3778831","10001","+"
"chr1","3663965","3673965","10001","+"
"chr1","3523059","3533059","10001","-"
"chr1","3768831","3778831","10001","+"
"chr1","4710105","4720105","10001","+"
"chr1","4710105","4720105","10001","+"
"chr1","6089348","6099348","10001","+"
"chr1","6047533","6057533","10001","-"
"chr1","6047358","6057358","10001","+"
"chr1","6081073","6091073","10001","+"
"chr1","6081073","6091073","10001","+"
"chr1","6101174","6111174","10001","+"
"chr1","6100981","6110981","10001","+"
"chr1","6448826","6458826","10001","-"
"chr1","6840384","6850384","10001","+"
"chr1","6440883","6450883","10001","-"
"chr1","6840384","6850384","10001","+"
"chr1","6552484","6562484","10001","-"
"chr1","6552156","6562156","10001","-"
"chr1","6575121","6585121","10001","-"
"chr1","7839489","7849489","10001","+"
"chr1","7839489","7849489","10001","+"
"chr1","7839489","7849489","10001","+"
"chr1","7998225","8008225","10001","-"
"chr1","7839489","7849489","10001","+"
"chr1","7839489","7849489","10001","+"
"chr1","9294903","9304903","10001","+"
"chr1","9289863","9299863","10001","+"
"chr1","8872699","8882699","10001","-"
"chr1","9184229","9194229","10001","-"
"chr1","8872699","8882699","10001","-"
"chr1","9879550","9889550","10001","-"
"chr1","9965316","9975316","10001","-"
"chr1","10088041","10098041","10001","+"
"chr1","10265764","10275764","10001","+"
"chr1","10265764","10275764","10001","+"
"chr1","10088041","10098041","10001","+"
"chr1","9879550","9889550","10001","-"
"chr1","9965316","9975316","10001","-"
"chr1","11154938","11164938","10001","-"
"chr1","10530003","10540003","10001","+"
"chr1","10851733","10861733","10001","-"
"chr1","11037094","11047094","10001","-"
"chr1","11317608","11327608","10001","-"
"chr1","10851733","10861733","10001","-"
"chr1","11154938","11164938","10001","-"
"chr1","12285113","12295113","10001","+"
"chr1","11791142","11801142","10001","+"
"chr1","11791142","11801142","10001","+"
"chr1","12118434","12128434","10001","+"
"chr1","12035238","12045238","10001","+"
"chr1","12035238","12045238","10001","+"
"chr1","12285113","12295113","10001","+"
"chr1","12118434","12128434","10001","+"
"chr1","11791142","11801142","10001","+"
"chr1","11791142","11801142","10001","+"
"chr1","11791142","11801142","10001","+"
"chr1","12699566","12709566","10001","+"
"chr1","15568768","15578768","10001","+"
"chr1","15473960","15483960","10001","-"
"chr1","14920213","14930213","10001","+"
"chr1","15251296","15261296","10001","+"
"chr1","14920213","14930213","10001","+"
"chr1","15267415","15277415","10001","+"
"chr1","15245625","15255625","10001","+"
"chr1","16673948","16683948","10001","-"
"chr1","15848308","15858308","10001","+"
"chr1","16169359","16179359","10001","+"
"chr1","15848308","15858308","10001","+"
"chr1","15848308","15858308","10001","+"
"chr1","16935100","16945100","10001","-"
"chr1","17041652","17051652","10001","-"
