"seqnames","start","end","width","strand"
"chr1","66999825","67210768","210944","+"
"chr1","8378145","8404227","26083","+"
"chr1","48998527","50489626","1491100","-"
"chr1","16767167","16786584","19418","+"
"chr1","16767167","16786584","19418","+"
"chr1","25071760","25170815","99056","+"
"chr1","16767167","16786584","19418","+"
"chr1","33546714","33585995","39282","+"
"chr1","92145900","92351836","205937","-"
"chr1","92145900","92351836","205937","-"
"chr1","100652478","100715409","62932","-"
"chr1","92145900","92371559","225660","-"
"chr1","92145900","92351836","205937","-"
"chr1","175913962","176176380","262419","-"
"chr1","184356150","184598155","242006","+"
"chr1","150980973","151008189","27217","+"
"chr1","175913962","176176380","262419","-"
"chr1","175913962","176176380","262419","-"
"chr1","226418850","226497449","78600","-"
"chr1","226418850","226497204","78355","-"
"chr1","226418850","226497204","78355","-"
"chr1","1981909","2116834","134926","+"
"chr1","1017198","1051736","34539","-"
"chr1","2985742","3355185","369444","+"
"chr1","6845384","7829766","984383","+"
"chr1","2985742","3355185","369444","+"
"chr1","2005425","2116834","111410","+"
"chr1","6281253","6296044","14792","-"
"chr1","2036155","2116834","80680","+"
"chr1","2005086","2116834","111749","+"
"chr1","13328196","13698405","370210","-"
"chr1","13328196","13698405","370210","-"
"chr1","13629925","13635299","5375","+"
"chr1","13629932","13635299","5368","+"
"chr1","23037331","23241823","204493","+"
"chr1","20959948","20978004","18057","+"
"chr1","23037331","23241823","204493","+"
"chr1","22004792","22109688","104897","-"
"chr1","20969150","20978686","9537","-"
"chr1","28296855","28415148","118294","-"
"chr1","29241088","29391733","150646","+"
"chr1","29213603","29446558","232956","+"
"chr1","29213603","29446558","232956","+"
"chr1","27248213","27273362","25150","+"
"chr1","29213603","29446558","232956","+"
"chr1","28303784","28415148","111365","-"
"chr1","32479295","32509482","30188","+"
"chr1","29213603","29446558","232956","+"
"chr1","28296855","28415148","118294","-"
"chr1","28296855","28415148","118294","-"
"chr1","26210677","26232993","22317","-"
"chr1","29213603","29446558","232956","+"
"chr1","31404353","31538564","134212","-"
"chr1","32479295","32509482","30188","+"
"chr1","31404353","31538564","134212","-"
"chr1","32479295","32509482","30188","+"
"chr1","32479295","32526460","47166","+"
"chr1","33979599","34631443","651845","-"
"chr1","33979599","34630875","651277","-"
"chr1","39549839","39952810","402972","+"
"chr1","36690017","36770957","80941","+"
"chr1","35649201","35658743","9543","-"
"chr1","48226200","48462562","236363","-"
"chr1","43996547","44089343","92797","+"
"chr1","44870960","45117396","246437","+"
"chr1","43996547","44089343","92797","+"
"chr1","46092976","46152302","59327","-"
"chr1","57463579","58716211","1252633","-"
"chr1","53392901","53517289","124389","+"
"chr1","55532032","55681039","149008","-"
"chr1","53392901","53517289","124389","+"
"chr1","50906935","51425936","519002","-"
"chr1","52373628","52456436","82809","-"
"chr1","53392901","53517289","124389","+"
"chr1","53392901","53517289","124389","+"
"chr1","54519274","54565416","46143","+"
"chr1","61547980","61928460","380481","+"
"chr1","65886335","66103176","216842","+"
"chr1","62901975","62917475","15501","+"
"chr1","59762684","60165066","402383","+"
"chr1","59762625","60228402","465778","+"
"chr1","61547980","61928460","380481","+"
"chr1","63906441","63988944","82504","-"
"chr1","62902383","62917475","15093","+"
"chr1","65991372","66101111","109740","+"
"chr1","64936476","65158741","222266","+"
"chr1","65991372","66096095","104724","+"
"chr1","61547534","61928460","380927","+"
"chr1","61542946","61928460","385515","+"
"chr1","65991372","66091917","100546","+"
"chr1","63906441","63988944","82504","-"
"chr1","59762625","60228402","465778","+"
"chr1","63906441","63988944","82504","-"
"chr1","62901975","62917475","15501","+"
"chr1","65886335","66096095","209761","+"
"chr1","65886335","66101111","214777","+"
"chr1","71868625","72748277","879653","-"
"chr1","70225858","70589171","363314","+"
"chr1","76540389","77096669","556281","+"
"chr1","76540389","77042892","502504","+"
"chr1","77554667","77685132","130466","-"
"chr1","87012759","87046432","33674","+"
"chr1","90098644","90185094","86451","+"
"chr1","87012759","87046432","33674","+"
"chr1","85784168","86044046","259879","-"
"chr1","89003196","89150887","147692","-"
"chr1","94352590","94375012","22423","-"
"chr1","93307717","93342707","34991","-"
"chr1","93307717","93427079","119363","-"
"chr1","93307717","93427079","119363","-"
"chr1","93298286","93427079","128794","-"
"chr1","93307717","93427079","119363","-"
"chr1","95393584","95428826","35243","+"
"chr1","107682629","108024475","341847","+"
"chr1","107682629","108024475","341847","+"
"chr1","107682745","108024475","341731","+"
"chr1","114239824","114301777","61954","-"
"chr1","111136202","111174096","37895","-"
"chr1","112162405","112256101","93697","+"
"chr1","110091186","110138454","47269","+"
