"seqnames","start","end","width","strand"
"chr1","66994825","67215768","220944","+"
"chr1","8373145","8409227","36083","+"
"chr1","48993527","50494626","1501100","-"
"chr1","16762167","16791584","29418","+"
"chr1","16762167","16791584","29418","+"
"chr1","25066760","25175815","109056","+"
"chr1","16762167","16791584","29418","+"
"chr1","33541714","33590995","49282","+"
"chr1","92140900","92356836","215937","-"
"chr1","92140900","92356836","215937","-"
"chr1","100647478","100720409","72932","-"
"chr1","92140900","92376559","235660","-"
"chr1","92140900","92356836","215937","-"
"chr1","175908962","176181380","272419","-"
"chr1","184351150","184603155","252006","+"
"chr1","150975973","151013189","37217","+"
"chr1","175908962","176181380","272419","-"
"chr1","175908962","176181380","272419","-"
"chr1","226413850","226502449","88600","-"
"chr1","226413850","226502204","88355","-"
"chr1","226413850","226502204","88355","-"
"chr1","1976909","2121834","144926","+"
"chr1","1012198","1056736","44539","-"
"chr1","2980742","3360185","379444","+"
"chr1","6840384","7834766","994383","+"
"chr1","2980742","3360185","379444","+"
"chr1","2000425","2121834","121410","+"
"chr1","6276253","6301044","24792","-"
"chr1","2031155","2121834","90680","+"
"chr1","2000086","2121834","121749","+"
"chr1","13323196","13703405","380210","-"
"chr1","13323196","13703405","380210","-"
"chr1","13624925","13640299","15375","+"
"chr1","13624932","13640299","15368","+"
"chr1","23032331","23246823","214493","+"
"chr1","20954948","20983004","28057","+"
"chr1","23032331","23246823","214493","+"
"chr1","21999792","22114688","114897","-"
"chr1","20964150","20983686","19537","-"
"chr1","28291855","28420148","128294","-"
"chr1","29236088","29396733","160646","+"
"chr1","29208603","29451558","242956","+"
"chr1","29208603","29451558","242956","+"
"chr1","27243213","27278362","35150","+"
"chr1","29208603","29451558","242956","+"
"chr1","28298784","28420148","121365","-"
"chr1","32474295","32514482","40188","+"
"chr1","29208603","29451558","242956","+"
"chr1","28291855","28420148","128294","-"
"chr1","28291855","28420148","128294","-"
"chr1","26205677","26237993","32317","-"
"chr1","29208603","29451558","242956","+"
"chr1","31399353","31543564","144212","-"
"chr1","32474295","32514482","40188","+"
"chr1","31399353","31543564","144212","-"
"chr1","32474295","32514482","40188","+"
"chr1","32474295","32531460","57166","+"
"chr1","33974599","34636443","661845","-"
"chr1","33974599","34635875","661277","-"
"chr1","39544839","39957810","412972","+"
"chr1","36685017","36775957","90941","+"
"chr1","35644201","35663743","19543","-"
"chr1","48221200","48467562","246363","-"
"chr1","43991547","44094343","102797","+"
"chr1","44865960","45122396","256437","+"
"chr1","43991547","44094343","102797","+"
"chr1","46087976","46157302","69327","-"
"chr1","57458579","58721211","1262633","-"
"chr1","53387901","53522289","134389","+"
"chr1","55527032","55686039","159008","-"
"chr1","53387901","53522289","134389","+"
"chr1","50901935","51430936","529002","-"
"chr1","52368628","52461436","92809","-"
"chr1","53387901","53522289","134389","+"
"chr1","53387901","53522289","134389","+"
"chr1","54514274","54570416","56143","+"
"chr1","61542980","61933460","390481","+"
"chr1","65881335","66108176","226842","+"
"chr1","62896975","62922475","25501","+"
"chr1","59757684","60170066","412383","+"
"chr1","59757625","60233402","475778","+"
"chr1","61542980","61933460","390481","+"
"chr1","63901441","63993944","92504","-"
"chr1","62897383","62922475","25093","+"
"chr1","65986372","66106111","119740","+"
"chr1","64931476","65163741","232266","+"
"chr1","65986372","66101095","114724","+"
"chr1","61542534","61933460","390927","+"
"chr1","61537946","61933460","395515","+"
"chr1","65986372","66096917","110546","+"
"chr1","63901441","63993944","92504","-"
"chr1","59757625","60233402","475778","+"
"chr1","63901441","63993944","92504","-"
"chr1","62896975","62922475","25501","+"
"chr1","65881335","66101095","219761","+"
"chr1","65881335","66106111","224777","+"
"chr1","71863625","72753277","889653","-"
"chr1","70220858","70594171","373314","+"
"chr1","76535389","77101669","566281","+"
"chr1","76535389","77047892","512504","+"
"chr1","77549667","77690132","140466","-"
"chr1","87007759","87051432","43674","+"
"chr1","90093644","90190094","96451","+"
"chr1","87007759","87051432","43674","+"
"chr1","85779168","86049046","269879","-"
"chr1","88998196","89155887","157692","-"
"chr1","94347590","94380012","32423","-"
"chr1","93302717","93347707","44991","-"
"chr1","93302717","93432079","129363","-"
"chr1","93302717","93432079","129363","-"
"chr1","93293286","93432079","138794","-"
"chr1","93302717","93432079","129363","-"
"chr1","95388584","95433826","45243","+"
"chr1","107677629","108029475","351847","+"
"chr1","107677629","108029475","351847","+"
"chr1","107677745","108029475","351731","+"
"chr1","114234824","114306777","71954","-"
"chr1","111131202","111179096","47895","-"
"chr1","112157405","112261101","103697","+"
"chr1","110086186","110143454","57269","+"
"chr1","113238749","113254678","15930","-"
"chr1","113238749","113255025","16277","-"
"chr1","113238749","113255025","16277","-"
"chr1","112157405","112261101","103697","+"
"chr1","120449176","120617317","168142","-"
"chr1","118467372","118508049","40678","+"
"chr1","120472736","120617317","144582","-"
"chr1","145722666","145769206","46541","+"
"chr1","145288371","146471121","1182751","+"
"chr1","144609959","144835407","225449","+"
"chr1","145722666","145769206","46541","+"
"chr1","147569323","148351929","782607","-"
"chr1","149907229","149987686","80458","-"
"chr1","144609959","144835407","225449","+"
"chr1","145722666","145769206","46541","+"
"chr1","144609959","145375304","765346","+"
"chr1","147569323","148351929","782607","-"
"chr1","144609959","144835407","225449","+"
"chr1","147569323","148351929","782607","-"
"chr1","144609959","144835407","225449","+"
"chr1","148245250","149114725","869476","-"
"chr1","144141811","146472744","2330934","+"
"chr1","154122780","154155697","32918","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","155178616","155202325","23710","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","154122780","154160725","37946","-"
"chr1","154129289","154169611","40323","-"
"chr1","156214015","156257620","43606","-"
"chr1","161470205","161494360","24156","+"
"chr1","161470205","161494360","24156","+"
"chr1","164523597","164826060","302464","+"
"chr1","164523597","164826060","302464","+"
"chr1","164523597","164826060","302464","+"
"chr1","165662987","165684199","21213","+"
"chr1","171805618","172107532","301915","+"
"chr1","170899636","170972946","73311","+"
"chr1","171805618","172386857","581240","+"
"chr1","170899612","171038906","139295","+"
"chr1","171805618","172386857","581240","+"
"chr1","173005360","173025103","19744","-"
"chr1","175031994","175122202","90209","+"
"chr1","179257849","179332814","74966","+"
"chr1","183436506","183528328","91823","+"
"chr1","180252352","180477022","224671","-"
"chr1","183436506","183528328","91823","+"
"chr1","178057864","178453648","395785","+"
"chr1","182414256","182534732","120477","+"
"chr1","177135633","177256558","120926","+"
"chr1","183436506","183528328","91823","+"
"chr1","183436506","183528328","91823","+"
"chr1","179257849","179332814","74966","+"
"chr1","179257849","179332814","74966","+"
"chr1","179257849","179332814","74966","+"
"chr1","186635944","186654559","18616","-"
"chr1","197117814","197174672","56859","-"
"chr1","198121108","198296548","175441","+"
"chr1","206511200","206642783","131584","+"
"chr1","206511200","206586301","75102","+"
"chr1","206552367","206585068","32702","+"
"chr1","206511200","206642783","131584","+"
"chr1","202312830","202562697","249868","+"
"chr1","202312830","202412370","99541","+"
"chr1","202312830","202412370","99541","+"
"chr1","206511200","206585070","73871","+"
"chr1","210496596","210854638","358043","+"
"chr1","210497250","210854638","357389","+"
"chr1","210497250","210854638","357389","+"
"chr1","210497640","210854638","356999","+"
"chr1","210496596","210854638","358043","+"
"chr1","215791236","216601738","810503","-"
"chr1","216671588","217118015","446428","-"
"chr1","216671588","217118017","446430","-"
"chr1","212854759","212878327","23569","-"
"chr1","216671588","217255312","583725","-"
"chr1","216671588","217118015","446428","-"
"chr1","216671588","217118017","446430","-"
"chr1","216671588","217316097","644510","-"
"chr1","210497250","210854638","357389","+"
"chr1","216671588","217267987","596400","-"
"chr1","216671588","217267987","596400","-"
"chr1","216671588","217255312","583725","-"
"chr1","216671588","217267987","596400","-"
"chr1","216671588","217268196","596609","-"
"chr1","220136942","220225000","88059","-"
"chr1","225112356","225591996","479641","+"
"chr1","220041619","220297777","256159","+"
"chr1","231659399","231959990","300592","+"
"chr1","231659399","231959990","300592","+"
"chr1","231659399","231843307","183909","+"
"chr1","231722038","231752836","30799","-"
"chr1","228576377","228599517","23141","-"
"chr1","229572044","229649088","77045","-"
"chr1","231659399","231959990","300592","+"
"chr1","231659399","231959990","300592","+"
"chr1","231659399","231959990","300592","+"
"chr1","231659399","232182019","522621","+"
"chr1","231659399","231891365","231967","+"
"chr1","240933814","241525530","591717","-"
"chr1","235819331","236035227","215897","-"
"chr1","240933814","241525530","591717","-"
"chr1","240933814","241525530","591717","-"
"chr1","240933814","241525530","591717","-"
